"Gene","logFC_TCGA","adjP_TCGA","logFC_METABRIC","adjP_METABRIC","Concordant"
"WNT2",1.29658529411765,2.74858621834305e-05,1.74794454545455,0.00345258302713159,TRUE
"THY1",1.27599327731093,2.841235261343e-08,1.6148,0.00437955078096261,TRUE
"ANTXR1",1.27152205882353,4.38867509901215e-07,1.13425181818182,0.00345258302713159,TRUE
"DPYSL3",1.27117226890756,0.00137131066708835,0.897223636363636,0.0310266191295409,TRUE
"PDGFRA",1.25801701680672,0.000305020412448344,1.254535,0.007227113260414,TRUE
"LAMA4",1.252,2.57911655810147e-06,1.73185363636364,0.00345258302713159,TRUE
"BICC1",1.24954768907563,0.0152452387055319,1.47631727272727,0.0058012489272583,TRUE
"EVC",1.24627163865546,0.000754155401022681,1.42095772727273,0.0111751898310379,TRUE
"CACNA1C",1.23850882352941,0.00237437447292697,1.30966409090909,0.00802345632851018,TRUE
"HEYL",1.23574726890756,1.90633444546689e-05,1.31931227272727,0.00938189873306818,TRUE
"RARRES2",1.21439012605042,6.81685561986084e-05,1.20546954545454,0.0216262406406151,TRUE
"SCARF2",1.20240777310924,0.000962604665831193,1.43158545454545,0.00736673821187849,TRUE
"CERCAM",1.16851533613445,3.56623437013298e-08,1.68226681818182,0.00345258302713159,TRUE
"TIMP3",1.1640775210084,0.00119231035145732,1.03745590909091,0.0392529208607674,TRUE
"PCOLCE",1.16299495798319,2.51999757467611e-07,1.59942636363636,0.00876347453459554,TRUE
"ITGB5",1.15588256302521,0.000147784530810974,1.33427681818182,0.0250247009582145,TRUE
"PLXDC1",1.15179159663866,4.01925707797462e-05,1.51366863636364,0.0268026880149203,TRUE
"LOX",1.14320168067227,0.00024175669948327,1.32026227272727,0.0310266191295409,TRUE
"MRGPRF",1.14011029411765,0.000304740768328752,1.68156863636364,0.0424075901466164,TRUE
"MXRA5",1.13121575630252,0.000306487162001023,1.24279454545455,0.0215382757820788,TRUE
"TSHZ3",1.12357899159664,7.3978888958046e-06,1.79745045454545,0.00127347369653936,TRUE
"SERPINF1",1.12219117647059,5.68834920989093e-05,1.36208681818182,0.00345258302713159,TRUE
"COPZ2",1.11798340336135,0.000145281087866744,1.75050181818182,0.00368405790117748,TRUE
"FEZ1",1.11214369747899,0.00118657859805364,1.46199272727273,0.0324968846081006,TRUE
"NDN",1.10733004201681,0.000249669173996955,1.287875,0.0236861323631328,TRUE
"EFEMP2",1.09461848739496,1.76315670677912e-05,1.55556,0.00460541045249674,TRUE
"SMOC2",1.09421239495798,0.0081455727082088,1.08442681818182,0.025797682206606,TRUE
"CFH",1.09303823529412,0.000181186843285503,1.12953136363636,0.0399871475366528,TRUE
