"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC100216545",0.0584138655462194,6.17160483870968,0.313110946660076,0.755265534128704,0.943126024412315,-6.38283953383
"AKT2",-0.0413945378151279,11.265535483871,-0.31309981618517,0.755273949090217,0.943126024412315,-6.38284298032595
"UXS1",-0.0490384453781534,9.81522580645161,-0.313017046360526,0.755336526409155,0.943146699093963,-6.38286860575828
"KIAA1949",0.0452168067226904,11.2265677419355,0.312794737052919,0.755504609336481,0.94324491195081,-6.38293739901102
"PSKH1",0.0442680672268914,9.39134032258065,0.312791267297096,0.75550723283266,0.94324491195081,-6.38293847233521
"GSPT1",0.0379575630252074,11.8106225806452,0.312478958637951,0.755743382482964,0.943482266118779,-6.38303503238319
"CHCHD7",-0.0564556722689051,9.00892258064516,-0.311778120191726,0.756273400866736,0.944086439505567,-6.38325136868466
"FADS3",-0.0696031512605053,8.50884838709677,-0.311581367514928,0.756422218832788,0.944158908135892,-6.38331201567784
"DIS3L2",-0.031025630252099,8.44981451612903,-0.311531207902215,0.756460159576982,0.944158908135892,-6.38332747075945
"LOC375190",-0.0671510504201702,5.65701451612903,-0.311518644137942,0.756469662905794,0.944158908135892,-6.38333134149348
"AP1G1",-0.0448596638655427,11.2935709677419,-0.311407552265268,0.756553695302816,0.94420628655599,-6.38336556069869
"USP6",-0.0458754201680698,5.27265322580645,-0.311299609504534,0.756635348466475,0.944250690017777,-6.38339879824191
"C10orf53",-0.0150636554621849,0.04775,-0.311141664297869,0.756754830934201,0.944293443798927,-6.38344741175092
"ECT2",-0.0670384453781541,10.5831548387097,-0.311128001544614,0.756765166820574,0.944293443798927,-6.38345161581553
"CYP1A2",0.0317161764705882,0.169767741935484,0.311048757754287,0.756825115705648,0.944293443798927,-6.38347599570669
"PLD5",0.118660294117647,1.33204677419355,0.311010691628437,0.756853913723099,0.944293443798927,-6.38348770480829
"CD72",-0.0673855042016793,7.12911451612903,-0.310906391200264,0.756932821491114,0.944296507431028,-6.38351978019525
"PNPLA7",0.112307983193275,6.03525967741936,0.31071763384739,0.757075631163252,0.944296507431028,-6.38357780125555
"SNORA61",-0.0418432773109244,0.384882258064516,-0.310690223574796,0.757096369881054,0.944296507431028,-6.38358622382454
"TEX101",-0.0485436974789917,0.266193548387097,-0.310659493098491,0.757119620890878,0.944296507431028,-6.38359566573787
"SLC30A8",-0.095470588235294,1.15764516129032,-0.310640244449777,0.757134184740842,0.944296507431028,-6.38360157939505
"LAMP1",-0.0500745798319304,12.9804790322581,-0.310623375083325,0.757146948458666,0.944296507431028,-6.38360676177802
"MAP1LC3C",-0.0899231092436978,2.49045161290323,-0.310500037841183,0.757240270074776,0.944296507431028,-6.38364464328609
"OR13G1",0.0143121848739496,0.0576129032258064,0.310470553845667,0.757262579316636,0.944296507431028,-6.38365369670972
"ZNF2",0.0333565126050406,7.11838870967742,0.310459346066468,0.757271059804281,0.944296507431028,-6.38365713797145
"ZNF594",-0.0636605042016773,7.26343225806451,-0.310374841138942,0.757335002337902,0.944318784248781,-6.38368308056787
"CETN2",-0.0377449579831914,10.3072225806452,-0.310183902820102,0.757479486331796,0.944419593625135,-6.38374167176875
"BUD13",0.0363493697478976,8.97873709677419,0.310146201676397,0.75750801600517,0.944419593625135,-6.38375323646702
"C17orf72",0.0852918067226875,4.74741935483871,0.309794754632358,0.757773983618888,0.94469371739677,-6.38386097424821
"NAA20",0.046783403361351,10.3456161290322,0.309617099337559,0.75790844053453,0.944803867415733,-6.38391538900193
"FCN1",-0.102669327731093,6.22254032258065,-0.309293979476353,0.758153010321059,0.945051261694531,-6.38401427892553
"LOC389033",0.0444405462184874,0.216974193548387,0.30897746899836,0.758392601507736,0.945264037863817,-6.3841110462777
